,peakFrequency,peakAmplitude,powerSum,labels
0,3040.0,342.66668535932695,1543.151292689422,11
1,360.0,69.29463578797025,16.421451055948097,13
2,2560.0,922.8316668953025,1748.0577132154358,9
3,360.0,65.19232632141802,14.371288225470089,13
4,45040.0,444.48467477370895,1922.5857319873703,11
5,45440.0,818.1665104411411,2015.5271611577987,9
6,3040.0,428.43860501339617,1577.792184317006,11
7,2720.0,377.5852727249924,2055.326750549568,11
8,360.0,69.24807157803126,15.624177824611579,13
9,2773.3333333333335,452.8559294435999,2054.715101432078,11
10,45093.333333333336,428.71756177550014,1695.0367350248885,11
11,2560.0,1061.3209205018509,2207.122862221464,9
12,2546.666666666667,908.479114139604,2289.8160524660334,9
13,2946.666666666667,419.00786126439175,2145.2793198230183,11
14,360.0,73.57432473745004,15.18430995864424,13
15,45120.0,373.0223694919748,1671.439430185301,11
16,2720.0,405.3193744344334,1761.838414147925,11
17,2880.0,393.2986516555122,1653.356112569792,11
18,3000.0,427.97613201259213,2032.1060124209134,11
19,2573.3333333333335,366.97774106197903,1345.0927307814468,11
20,44933.333333333336,501.99407500957614,1772.0657472629828,11
21,360.0,78.95984179196806,17.28574449542966,13
22,2546.666666666667,805.6801156969562,2140.152206684251,9
23,4266.666666666667,64.58088773087543,15.850280161990419,13
24,360.0,70.71722467856507,16.7381146882378,13
25,2720.0,355.40026997130354,1563.2349460494434,11
26,360.0,79.641569368704,15.513609167124054,13
27,45226.66666666667,394.44451337014425,1652.2180022555303,11
28,3066.666666666667,474.96154098542775,2135.524113339413,11
29,45133.333333333336,454.73837494870605,2222.9103378939944,11
30,3026.666666666667,349.2405579737082,1551.1154314825312,11
31,2560.0,814.5360415230136,2235.4471688388544,9
32,360.0,67.8065244237576,15.324521434072595,13
33,45440.0,945.5047774290564,2325.2884955494615,9
34,360.0,60.90673764982828,15.905349848226443,13
35,360.0,65.89886084373788,15.863542214031884,13
36,2560.0,984.1979098634756,2677.0769838852198,9
37,2546.666666666667,867.3580447856357,1893.0979177988845,9
38,360.0,59.7887975298912,14.147709504290823,13
39,45093.333333333336,409.62475134151185,1702.607626774499,11
